Date  ,Concert  ,Venue  ,Location  
"Oct 25, 2018 ",Garbage  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 21, 2018 ",Generation RX North American Tour 2018  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Oct 21, 2018 ",Good Charlotte / Sleeping With Sirens / Knuckle Puck ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 30, 2019 ",The War On Drugs  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 30, 2019 ",The War on Drugs ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 29, 2019 ",The Struts  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 28, 2019 ",The Struts ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 26, 2019 ",Lil Baby ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 21, 2019 ",The Front Bottoms  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 21, 2019 ",Champagne Jam  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 21, 2019 ",Mannequin Pussy / The World Is a Beautiful Place & I Am No Longer Afraid to Die / Vandaveer / Why? / The Front Bottoms ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 21, 2019 ",Champagne Jam 2019  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 21, 2019 ",The Front Bottoms / Why? / The So So Glos / Vundabar / Shannen Moser / The World Is a Beautiful Place & I Am No Longer Afraid to Die / Illiterate Light / Mannequin Pussy ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 21, 2019 ",Champagne Jam  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 21, 2019 ",The Front Bottoms ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 12, 2019 ",A$AP Ferg / Murda Beatz / Madeintyo  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 11, 2019 ",Tyler Childers / Liz Cooper & The Stampede  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2019 ",Manchester Orchestra  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2019 ",Manchester Orchestra / Foxing ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2019 ","Manchester Orchestra w/ Foxing and Oso Oso at The Fillmore Philadelphia (December 6, 2019)  ",The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2019 ",Manchester Orchestra / Foxing / Oso Oso ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2019 ",Manchester Orchestra / Foxing / osoosooso  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2019 ",Manchester Orchestra / Oso Oso / Foxing  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 01, 2019 ",CHON ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 01, 2019 ",CHON / Between The Buried And Me  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 27, 2019 ",BROCKHAMPTON / Slowthai / 100 gecs  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 16, 2019 ",Fight the Good Fight Tour ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 16, 2019 ",The Interrupters / Skinny Lister / Sharp/Shock ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 08, 2019 ",Mom Jeans.  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
